API,COUNTRY,EMISSIONS,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4008-8-AGO-MMTCD.A,Angola,CO2 emissions (MMtonnes CO2),3.390313036,3.388842904,3.5555033,3.86660396,3.36660396,4.32215429,4.57770462,4.68880528,4.89990594,4.73325495,4.855407096,5.0110066,5.218203145,5.098585546,4.919904059,5.298585546,5.098585546,5.718203145,4.837820744,5.698585546,5.418203145,7.339732749,7.81629114,8.275143938,8.571319928,8.475143938,9.433996735,10.42826072,10.83399674,12.35361433,16.43470477,17.29977445,18.37975953,20.11390904,21.74356254,22.91092341,21.7829707,19.15066914,18.23030484,20.21123844,19.47169769,17.85911412
INTL.4002-8-AGO-MMTCD.A,Angola,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4010-8-AGO-MMTCD.A,Angola,Consumed natural gas (MMtonnes CO2),0.511063036,0.488842904,0.5555033,0.66660396,0.66660396,0.72215429,0.77770462,0.88880528,0.99990594,0.83325495,1.055407096,1.1110066,1.118203145,1.098585546,1.019904059,1.098585546,1.098585546,1.118203145,1.137820744,1.098585546,1.118203145,1.039732749,1.21629114,1.275143938,1.471319928,1.275143938,1.333996735,1.62826072,1.333996735,1.353614334,1.439931769,1.475243448,1.490937527,0.800398041,0.453166538,1.516440406,1.575292703,1.594910135,2.26481584,2.538155683,2.596728507,1.796233253
INTL.4006-8-AGO-MMTCD.A,Angola,Petroleum and other liquids (MMtonnes CO2),2.87925,2.9,3,3.2,2.7,3.6,3.8,3.8,3.9,3.9,3.8,3.9,4.1,4,3.9,4.2,4,4.6,3.7,4.6,4.3,6.3,6.6,7,7.1,7.2,8.1,8.8,9.5,11,14.994773,15.824531,16.888822,19.313511,21.290396,21.394483,20.207678,17.555759,15.965489,17.67308276,16.87496918,16.06288086
INTL.4008-8-ATA-MMTCD.A,Antarctica,CO2 emissions (MMtonnes CO2),0.14064,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352207,0.014382064,0.01434261,0.014342885,0.014228501,0.01422098,0.013782287,0.013782287,0.027564573,0.011609226,0.012354067
INTL.4002-8-ATA-MMTCD.A,Antarctica,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4010-8-ATA-MMTCD.A,Antarctica,Consumed natural gas (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4006-8-ATA-MMTCD.A,Antarctica,Petroleum and other liquids (MMtonnes CO2),0.14064,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352207,0.014382064,0.01434261,0.014342885,0.014228501,0.01422098,0.013782287,0.013782287,0.027564573,0.011609226,0.012354067
INTL.4008-8-ATG-MMTCD.A,Antigua and Barbuda,CO2 emissions (MMtonnes CO2),0.40738,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,0.7288483,0.613785704,0.653263187
INTL.4002-8-ATG-MMTCD.A,Antigua and Barbuda,Coal and coke (MMtonnes CO2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
