API,COUNTRY,CONSUMPTION,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4415-2-DZA-QBTU.A,Algeria,Petroleum and other liquids (quad Btu),0.232740836,0.243614268,0.274305829,0.260878271,0.288521698,0.316506726,0.318808593,0.324214207,0.335391347,0.357827385,0.379428085,0.407682005,0.41277114,0.40205261,0.397562745,0.399022928,0.388604746,0.384324268,0.400556475,0.378129342,0.4381881,0.444134049,0.483595725,0.491823407,0.513405022,0.518027203,0.528632034,0.544120936,0.625478194,0.691802262,0.685783048,0.688148656,0.73594742,0.790232024,0.824079844,0.859255,0.838878,0.804754979,0.826374511,0.872734898,0.79156158,0.795902222
INTL.4419-2-DZA-QBTU.A,Algeria,"Nuclear, renewables, and other (quad Btu)",0.002606933,0.003841991,0.004866486,0.002389748,0.005629292,0.006549389,0.002522158,0.004945129,0.001968111,0.002573179,0.001094573,0.000777956,-0.001147317,-0.000482112,-0.002141911,0.001033434,0.001844405,0.001584725,0.00300957,0.002434238,0.001469878,0.002898884,0.002868698,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.016637716,0.017509962,0.010393744,0.008358618,0.006348635,0.005049059,0.012308752,0.014856347,0.016825538,0.012355114,0.017043145
none,Algeria,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-DZA-QBTU.A,Algeria,Renewables and other (quad Btu),0.002606933,0.003841991,0.004866486,0.002389748,0.005629292,0.006549389,0.002522158,0.004945129,0.001968111,0.002573179,0.001094573,0.000777956,-0.001147317,-0.000482112,-0.002141911,0.001033434,0.001844405,0.001584725,0.00300957,0.002434238,0.001469878,0.002898884,0.002868698,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.016637716,0.017509962,0.010393744,0.008358618,0.006348635,0.005049059,0.012308752,0.014856347,0.016825538,0.012355114,0.017043145
INTL.44-2-ASM-QBTU.A,American Samoa,Consumption (quad Btu),0.005893112,0.006926477,0.00965509,0.006086904,0.006945454,0.006506691,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.00493353,0.004930591,0.004930529,0.004930145,0.004952661,0.004957574,0.004957029,0.004956034,0.004722483,0.00544641
INTL.4411-2-ASM-QBTU.A,American Samoa,Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-ASM-QBTU.A,American Samoa,Natural gas (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4415-2-ASM-QBTU.A,American Samoa,Petroleum and other liquids (quad Btu),0.005893112,0.006926477,0.00965509,0.006086904,0.006945454,0.006506691,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004911507,0.004924965,0.004911509,0.004911509,0.004911509,0.004678618,0.005402545
INTL.4419-2-ASM-QBTU.A,American Samoa,"Nuclear, renewables, and other (quad Btu)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56E-06,0.000019082,0.00001902,0.000018638,0.000027696,0.000046065,0.00004552,0.000044525,0.000043865,0.000043865
none,American Samoa,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-ASM-QBTU.A,American Samoa,Renewables and other (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56E-06,0.000019082,0.00001902,0.000018638,0.000027696,0.000046065,0.00004552,0.000044525,0.000043865,0.000043865
INTL.44-2-AGO-QBTU.A,Angola,Consumption (quad Btu),0.058366148,0.057863688,0.062007899,0.066297007,0.059894701,0.073766696,0.072853256,0.075135479,0.077495249,0.074983449,0.079608634,0.083441112,0.084668242,0.083123161,0.081101856,0.086994519,0.08361172,0.093916459,0.084527679,0.094348783,0.110717366,0.120223226,0.128113413,0.142170629,0.157220993,0.133857304,0.168775405,0.193996338,0.227374466,0.258724455,0.283817648,0.297535913,0.310739985,0.347761278,0.382763726,0.39921871,0.364251517,0.347458949,0.359226946,0.404865374,0.402317536,0.328628418
INTL.4411-2-AGO-QBTU.A,Angola,Coal (quad Btu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4413-2-AGO-QBTU.A,Angola,Natural gas (quad Btu),0.0096324,0.0092136,0.01047,0.012564,0.012564,0.013611,0.014658,0.016752,0.018846,0.015705,0.019892073,0.02094,0.021075639,0.020705891,0.01922292,0.020705891,0.020705891,0.021075639,0.021445387,0.020705891,0.021075639,0.019596647,0.022924379,0.024033623,0.027731104,0.024033623,0.025142867,0.030689088,0.025142867,0.025512615,0.027139507,0.027805053,0.028100852,0.01508572,0.00854118,0.028581524,0.029690759,0.030060504,0.042686734,0.047838582,0.048942549,0.033854996
INTL.4415-2-AGO-QBTU.A,Angola,Petroleum and other liquids (quad Btu),0.043228106,0.043109997,0.045265496,0.047420996,0.041066701,0.053887496,0.051300896,0.051506939,0.051835409,0.052320305,0.052247925,0.055039372,0.05498806,0.053335041,0.05273896,0.057100637,0.05343439,0.063996363,0.05238564,0.064592882,0.080430224,0.090221248,0.093673197,0.10569338,0.112132162,0.087855878,0.117466215,0.138874002,0.171654636,0.20331696,0.220815085,0.231080612,0.246973165,0.287508463,0.326254106,0.323138243,0.279812496,0.245592324,0.225400068,0.258252532,0.246590031,0.191971407
INTL.4419-2-AGO-QBTU.A,Angola,"Nuclear, renewables, and other (quad Btu)",0.005505642,0.005540091,0.006272403,0.006312011,0.006264,0.0062682,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.054748262,0.071806122,0.091140144,0.09877426,0.106784956,0.102802014
none,Angola,Nuclear (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.4418-2-AGO-QBTU.A,Angola,Renewables and other (quad Btu),0.005505642,0.005540091,0.006272403,0.006312011,0.006264,0.0062682,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.054748262,0.071806122,0.091140144,0.09877426,0.106784956,0.102802014
