,COUNTRY,EMISSIONS,Year,Value
122,Burkina Faso,Consumed natural gas (MMtonnes CO2),1980,0
123,Burkina Faso,Petroleum and other liquids (MMtonnes CO2),1980,0.41825
124,Burma,CO2 emissions (MMtonnes CO2),1980,3.992116551
125,Burma,Coal and coke (MMtonnes CO2),1980,0.131602921
126,Burma,Consumed natural gas (MMtonnes CO2),1980,0.61105363
127,Burma,Petroleum and other liquids (MMtonnes CO2),1980,3.24946
128,Burundi,CO2 emissions (MMtonnes CO2),1980,0.0981
129,Burundi,Coal and coke (MMtonnes CO2),1980,0
130,Burundi,Consumed natural gas (MMtonnes CO2),1980,0
131,Burundi,Petroleum and other liquids (MMtonnes CO2),1980,0.0981
132,Cabo Verde,CO2 emissions (MMtonnes CO2),1980,0.29932
133,Cabo Verde,Coal and coke (MMtonnes CO2),1980,0
134,Cabo Verde,Consumed natural gas (MMtonnes CO2),1980,0
135,Cabo Verde,Petroleum and other liquids (MMtonnes CO2),1980,0.29932
136,Cambodia,CO2 emissions (MMtonnes CO2),1980,0.04096
137,Cambodia,Coal and coke (MMtonnes CO2),1980,0
138,Cambodia,Consumed natural gas (MMtonnes CO2),1980,0
139,Cambodia,Petroleum and other liquids (MMtonnes CO2),1980,0.04096
140,Cameroon,CO2 emissions (MMtonnes CO2),1980,2.22945
141,Cameroon,Coal and coke (MMtonnes CO2),1980,0
142,Cameroon,Consumed natural gas (MMtonnes CO2),1980,0
143,Cameroon,Petroleum and other liquids (MMtonnes CO2),1980,2.22945
144,Canada,CO2 emissions (MMtonnes CO2),1980,425.7078202
145,Canada,Coal and coke (MMtonnes CO2),1980,78.52209332
146,Canada,Consumed natural gas (MMtonnes CO2),1980,101.6041003
147,Canada,Petroleum and other liquids (MMtonnes CO2),1980,245.5816266
148,Cayman Islands,CO2 emissions (MMtonnes CO2),1980,0.0978
149,Cayman Islands,Coal and coke (MMtonnes CO2),1980,0
150,Cayman Islands,Consumed natural gas (MMtonnes CO2),1980,0
151,Cayman Islands,Petroleum and other liquids (MMtonnes CO2),1980,0.0978
152,Central African Republic,CO2 emissions (MMtonnes CO2),1980,0.13937
153,Central African Republic,Coal and coke (MMtonnes CO2),1980,0
154,Central African Republic,Consumed natural gas (MMtonnes CO2),1980,0
155,Central African Republic,Petroleum and other liquids (MMtonnes CO2),1980,0.13937
156,Chad,CO2 emissions (MMtonnes CO2),1980,0.27621
157,Chad,Coal and coke (MMtonnes CO2),1980,0
