COUNTRY,Composite_Indicators,Year,Value
Australia,Nuclear (billion kWh),1988,0.0
Australia,Fossil fuels (billion kWh),1988,117.095
Australia,Renewables (billion kWh),1988,14.11
Australia,Hydroelectricity (billion kWh),1988,13.41
Australia,Non-hydroelectric renewables (billion kWh),1988,0.7
Australia,Geothermal (billion kWh),1988,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1988,0.0
Australia,Tide and wave (billion kWh),1988,0.0
Australia,Solar (billion kWh),1988,0.0
Australia,Wind (billion kWh),1988,0.0
Australia,Biomass and waste (billion kWh),1988,0.7
Australia,Hydroelectric pumped storage (billion kWh),1988,-0.285
Australia,Consumption (quad Btu),1988,3.600307087
Australia,Coal (quad Btu),1988,1.500840605
Australia,Natural gas (quad Btu),1988,0.578865
Australia,Petroleum and other liquids (quad Btu),1988,1.396856238
Australia,"Nuclear, renewables, and other (quad Btu)",1988,0.123745244
Australia,Nuclear (quad Btu),1988,0.0
Australia,Renewables and other (quad Btu),1988,0.123745244
Australia,CO2 emissions (MMtonnes CO2),1988,262.5330884
Australia,Coal and coke (MMtonnes CO2),1988,140.0202531
Australia,Consumed natural gas (MMtonnes CO2),1988,30.71264735
Australia,Petroleum and other liquids (MMtonnes CO2),1988,91.800188
Australia,Population,1988,16568130.000000002
Australia,GDP,1988,483.9072
Australia,Generation (billion kWh),1989,139.221
Australia,Nuclear (billion kWh),1989,0.0
Australia,Fossil fuels (billion kWh),1989,124.164
Australia,Renewables (billion kWh),1989,15.111
Australia,Hydroelectricity (billion kWh),1989,14.311
Australia,Non-hydroelectric renewables (billion kWh),1989,0.8
Australia,Geothermal (billion kWh),1989,0.0
Australia,"Solar, tide, wave, fuel cell (billion kWh)",1989,0.0
Australia,Tide and wave (billion kWh),1989,0.0
Australia,Solar (billion kWh),1989,0.0
Australia,Wind (billion kWh),1989,0.0
Australia,Biomass and waste (billion kWh),1989,0.8
Australia,Hydroelectric pumped storage (billion kWh),1989,-0.054
Australia,Consumption (quad Btu),1989,3.820280517
Australia,Coal (quad Btu),1989,1.639532935
Australia,Natural gas (quad Btu),1989,0.59451
Australia,Petroleum and other liquids (quad Btu),1989,1.450944062
Australia,"Nuclear, renewables, and other (quad Btu)",1989,0.13529352
Australia,Nuclear (quad Btu),1989,0.0
Australia,Renewables and other (quad Btu),1989,0.13529352
Australia,CO2 emissions (MMtonnes CO2),1989,280.5352537
Australia,Coal and coke (MMtonnes CO2),1989,153.1302988
Australia,Consumed natural gas (MMtonnes CO2),1989,31.5427189
Australia,Petroleum and other liquids (MMtonnes CO2),1989,95.862236
Australia,Population,1989,16846020.0
Australia,GDP,1989,506.3752
Australia,Generation (billion kWh),1990,146.187
Australia,Nuclear (billion kWh),1990,0.0
